Time,PitchOutput,CurrentPitch
0,2.00195,4.00097
1,1.00097,4.50146
2,0.50049,4.75170
3,0.25024,4.87683
4,0.12512,4.93939
5,0.06256,4.97067
6,0.03128,4.98631
7,0.01564,4.99413
8,0.00782,4.99804
9,0.00391,4.99999
10,0.00196,5.00097
11,0.00098,5.00146
12,0.00049,5.00170
13,0.00024,5.00183
14,0.00012,5.00189
15,0.00006,5.00192
16,0.00003,5.00193
17,0.00002,5.00194
18,0.00001,5.00194
19,0.00000,5.00195
20,0.00000,5.00195
21,0.00000,5.00195
22,0.00000,5.00195
23,0.00000,5.00195
24,0.00000,5.00195
25,0.00000,5.00195
26,0.00000,5.00195
27,0.00000,5.00195
28,0.00000,5.00195
29,-0.00000,5.00195
30,-0.00000,5.00195
31,-0.00000,5.00195
32,-0.00000,5.00195
33,-0.00000,5.00195
34,-0.00000,5.00195
35,-0.00000,5.00195
36,-0.00000,5.00195
37,-0.00000,5.00195
38,-0.00000,5.00195
39,-0.00000,5.00195
40,-0.00000,5.00195
41,-0.00000,5.00195
42,-0.00000,5.00195
43,-0.00000,5.00195
44,-0.00000,5.00195
45,-0.00000,5.00195
46,-0.00000,5.00195
47,-0.00000,5.00195
48,-0.00000,5.00195
49,-0.00000,5.00195
50,-0.00000,5.00195
51,-0.00000,5.00195
52,-0.00000,5.00195
53,-0.00000,5.00195
54,-0.00000,5.00195
55,-0.00000,5.00195
56,-0.00000,5.00195
57,-0.00000,5.00195
58,-0.00000,5.00195
59,-0.00000,5.00195
